time,bid_price_open,bid_price_high,bid_price_low,bid_price_close,bid_price_volume,ask_price_open,ask_price_high,ask_price_low,ask_price_close,ask_price_volume,last_price_open,last_price_high,last_price_low,last_price_close,last_price_volume,bid_size_open,bid_size_high,bid_size_low,bid_size_close,bid_size_volume,ask_size_open,ask_size_high,ask_size_low,ask_size_close,ask_size_volume,last_size_open,last_size_high,last_size_low,last_size_close,last_size_volume,
2024-03-26T09:22:05,0.0,520.81,0.0,520.81,1,0.0,520.83,0.0,520.83,1,0.0,520.82,0.0,520.82,1,0.0,1200.0,0.0,1200.0,2,0.0,5200.0,0.0,5200.0,2,0.0,100.0,0.0,100.0,2,
2024-03-26T09:22:10,520.81,520.82,520.81,520.82,1,520.83,520.83,520.83,520.83,0,520.82,520.82,520.82,520.82,0,1200.0,1800.0,200.0,200.0,5,5200.0,9300.0,100.0,100.0,5,100.0,100.0,100.0,100.0,0,
2024-03-26T09:22:15,520.82,520.82,520.8,520.8,2,520.83,520.83,520.83,520.83,0,520.82,520.82,520.82,520.82,0,200.0,2300.0,200.0,2300.0,6,100.0,8600.0,100.0,600.0,3,100.0,100.0,100.0,100.0,0,
2024-03-26T09:22:20,520.8,520.81,520.8,520.81,1,520.83,520.83,520.83,520.83,0,520.82,520.82,520.82,520.82,0,2300.0,10400.0,200.0,700.0,7,600.0,600.0,100.0,100.0,3,100.0,100.0,100.0,100.0,0,
2024-03-26T09:22:25,520.81,520.83,520.81,520.83,5,520.83,520.87,520.83,520.84,6,520.82,520.82,520.82,520.82,0,700.0,7300.0,100.0,2300.0,17,100.0,7000.0,100.0,900.0,17,100.0,100.0,100.0,100.0,0,
2024-03-26T09:22:30,520.83,520.86,520.83,520.84,3,520.84,520.88,520.84,520.88,3,520.82,520.84,520.82,520.84,1,2300.0,8100.0,100.0,3200.0,12,900.0,12700.0,100.0,12700.0,11,100.0,500.0,100.0,500.0,3,
2024-03-26T09:22:35,520.84,520.85,520.84,520.85,1,520.88,520.88,520.87,520.87,1,520.84,520.84,520.84,520.84,0,3200.0,6800.0,700.0,700.0,7,12700.0,12700.0,200.0,200.0,5,500.0,500.0,500.0,500.0,0,
2024-03-26T09:22:40,520.85,520.85,520.84,520.84,1,520.87,520.88,520.85,520.85,5,520.84,520.84,520.84,520.84,0,700.0,700.0,100.0,100.0,5,200.0,13800.0,100.0,100.0,13,500.0,500.0,500.0,500.0,0,
2024-03-26T09:22:45,520.84,520.84,520.84,520.84,0,520.85,520.85,520.85,520.85,0,520.84,520.84,520.84,520.84,0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,0,500.0,500.0,500.0,500.0,0,
2024-03-26T09:22:50,520.84,520.84,520.84,520.84,0,520.85,520.85,520.85,520.85,0,520.84,520.84,520.84,520.84,0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,0,500.0,500.0,500.0,500.0,0,
2024-03-26T09:22:55,520.84,520.84,520.79,520.79,2,520.85,520.87,520.82,520.82,4,520.84,520.84,520.81,520.81,1,100.0,300.0,100.0,200.0,4,100.0,6400.0,100.0,600.0,8,500.0,500.0,200.0,200.0,2,
2024-03-26T09:23,520.79,520.81,520.79,520.81,1,520.82,520.84,520.82,520.84,1,520.81,520.81,520.81,520.81,0,200.0,1200.0,200.0,1000.0,3,600.0,10300.0,600.0,6300.0,8,200.0,200.0,200.0,200.0,0,
2024-03-26T09:23:05,520.81,520.81,520.81,520.81,0,520.84,520.84,520.83,520.84,8,520.81,520.81,520.81,520.81,0,1000.0,1300.0,1000.0,1300.0,1,6300.0,10600.0,1000.0,10600.0,20,200.0,200.0,200.0,200.0,0,
2024-03-26T09:23:10,520.81,520.81,520.8,520.81,4,520.84,520.84,520.82,520.83,4,520.81,520.81,520.81,520.81,0,1300.0,2800.0,200.0,800.0,11,10600.0,14000.0,2500.0,9500.0,16,200.0,300.0,200.0,300.0,1,
2024-03-26T09:23:15,520.81,520.81,520.81,520.81,0,520.83,520.83,520.83,520.83,0,520.81,520.81,520.81,520.81,0,800.0,800.0,800.0,800.0,0,9500.0,11000.0,1000.0,10500.0,5,300.0,300.0,300.0,300.0,0,
2024-03-26T09:23:20,520.81,520.81,520.81,520.81,0,520.83,520.84,520.83,520.83,2,520.81,520.81,520.81,520.81,0,800.0,1200.0,200.0,200.0,4,10500.0,12000.0,500.0,12000.0,8,300.0,300.0,300.0,300.0,0,
2024-03-26T09:23:25,520.81,520.81,520.8,520.81,2,520.83,520.84,520.83,520.83,2,520.81,520.81,520.81,520.81,0,200.0,3000.0,200.0,1100.0,6,12000.0,12500.0,1000.0,1000.0,8,300.0,300.0,100.0,100.0,1,
2024-03-26T09:23:30,520.81,520.82,520.81,520.82,1,520.83,520.84,520.83,520.83,2,520.81,520.83,520.81,520.83,1,1100.0,1100.0,100.0,100.0,2,1000.0,12500.0,1000.0,11000.0,9,100.0,500.0,100.0,500.0,2,
2024-03-26T09:23:35,520.82,520.82,520.81,520.81,1,520.83,520.83,520.82,520.82,1,520.83,520.83,520.83,520.83,0,100.0,100.0,100.0,100.0,1,11000.0,11000.0,1000.0,11000.0,7,500.0,500.0,500.0,500.0,0,
2024-03-26T09:23:40,520.81,520.81,520.81,520.81,0,520.82,520.84,520.82,520.82,2,520.83,520.83,520.83,520.83,0,100.0,100.0,100.0,100.0,0,11000.0,11000.0,500.0,500.0,7,500.0,500.0,500.0,500.0,0,
2024-03-26T09:23:45,520.81,520.84,520.81,520.84,2,520.82,520.86,520.82,520.86,3,520.83,520.83,520.83,520.83,0,100.0,1000.0,100.0,600.0,6,500.0,10500.0,100.0,1000.0,9,500.0,500.0,500.0,500.0,0,
2024-03-26T09:23:50,520.84,520.84,520.84,520.84,0,520.86,520.87,520.86,520.87,5,520.83,520.83,520.83,520.83,0,600.0,600.0,200.0,200.0,1,1000.0,13300.0,1000.0,8300.0,15,500.0,500.0,500.0,500.0,0,
2024-03-26T09:23:55,520.84,520.87,520.84,520.87,2,520.87,520.91,520.87,520.91,2,520.83,520.87,520.83,520.87,1,200.0,1900.0,200.0,1700.0,8,8300.0,11900.0,100.0,11900.0,6,500.0,500.0,100.0,100.0,2,
2024-03-26T09:24,520.87,520.89,520.87,520.89,2,520.91,520.91,520.91,520.91,0,520.87,520.9,520.87,520.9,1,1700.0,2000.0,100.0,100.0,8,11900.0,11900.0,800.0,800.0,7,100.0,3000.0,100.0,3000.0,2,
2024-03-26T09:24:05,520.89,520.9,520.89,520.89,2,520.91,520.93,520.9,520.92,4,520.9,520.9,520.9,520.9,0,100.0,5700.0,100.0,5700.0,6,800.0,9300.0,800.0,1600.0,11,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:10,520.89,520.91,520.89,520.91,2,520.92,520.92,520.92,520.92,0,520.9,520.9,520.9,520.9,0,5700.0,5700.0,200.0,200.0,5,1600.0,1600.0,800.0,800.0,2,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:15,520.91,520.93,520.91,520.93,1,520.92,520.96,520.92,520.96,1,520.9,520.9,520.9,520.9,0,200.0,2400.0,200.0,2400.0,6,800.0,9800.0,100.0,1500.0,6,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:20,520.93,520.95,520.93,520.95,2,520.96,520.97,520.96,520.97,5,520.9,520.9,520.9,520.9,0,2400.0,3100.0,500.0,1000.0,6,1500.0,14200.0,1500.0,2400.0,15,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:25,520.95,520.96,520.95,520.96,1,520.97,520.99,520.97,520.98,5,520.9,520.9,520.9,520.9,0,1000.0,1000.0,100.0,200.0,4,2400.0,14200.0,500.0,2500.0,13,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:30,520.96,520.96,520.96,520.96,0,520.98,520.98,520.98,520.98,0,520.9,520.9,520.9,520.9,0,200.0,200.0,200.0,200.0,0,2500.0,10500.0,2000.0,2500.0,6,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:35,520.96,520.96,520.96,520.96,0,520.98,520.98,520.97,520.97,1,520.9,520.9,520.9,520.9,0,200.0,300.0,200.0,200.0,4,2500.0,2500.0,400.0,1200.0,4,3000.0,3000.0,3000.0,3000.0,0,
2024-03-26T09:24:40,520.96,520.98,520.95,520.98,3,520.97,521.0,520.97,521.0,5,520.9,520.97,520.9,520.97,1,200.0,2600.0,200.0,1500.0,9,1200.0,10500.0,400.0,900.0,16,3000.0,3000.0,100.0,100.0,2,
2024-03-26T09:24:45,520.98,520.99,520.98,520.99,3,521.0,521.01,521.0,521.01,7,520.97,520.97,520.97,520.97,0,1500.0,1500.0,100.0,100.0,8,900.0,15000.0,500.0,2600.0,17,100.0,100.0,100.0,100.0,0,
2024-03-26T09:24:50,520.99,520.99,520.97,520.97,3,521.01,521.01,520.98,521.0,3,520.97,520.97,520.97,520.97,0,100.0,7500.0,100.0,7500.0,6,2600.0,6100.0,400.0,900.0,11,100.0,100.0,100.0,100.0,0,
2024-03-26T09:24:55,520.97,520.98,520.97,520.98,1,521.0,521.0,521.0,521.0,0,520.97,520.97,520.97,520.97,0,7500.0,7500.0,400.0,900.0,3,900.0,8400.0,900.0,4900.0,6,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25,520.98,520.98,520.98,520.98,0,521.0,521.0,521.0,521.0,0,520.97,520.97,520.97,520.97,0,900.0,1100.0,900.0,1100.0,1,4900.0,12900.0,900.0,1900.0,7,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:05,520.98,520.98,520.94,520.96,3,521.0,521.0,520.96,520.98,2,520.97,520.97,520.97,520.97,0,1100.0,1500.0,100.0,1500.0,8,1900.0,7300.0,500.0,2000.0,10,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:10,520.96,520.96,520.96,520.96,0,520.98,520.99,520.98,520.99,3,520.97,520.98,520.97,520.98,1,1500.0,1500.0,1500.0,1500.0,0,2000.0,11300.0,500.0,11300.0,10,100.0,100.0,100.0,100.0,1,
2024-03-26T09:25:15,520.96,520.98,520.96,520.98,2,520.99,521.01,520.99,520.99,5,520.98,520.98,520.98,520.98,0,1500.0,3100.0,100.0,100.0,6,11300.0,16800.0,500.0,16800.0,16,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:20,520.98,520.98,520.97,520.97,1,520.99,520.99,520.98,520.98,1,520.98,520.98,520.98,520.98,0,100.0,200.0,100.0,200.0,2,16800.0,16800.0,2000.0,6100.0,6,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:25,520.97,520.98,520.97,520.98,1,520.98,521.01,520.97,521.0,3,520.98,520.98,520.97,520.97,1,200.0,2000.0,100.0,200.0,4,6100.0,16600.0,400.0,500.0,10,100.0,400.0,100.0,400.0,2,
2024-03-26T09:25:30,520.98,520.99,520.98,520.99,1,521.0,521.0,521.0,521.0,0,520.97,521.0,520.97,521.0,1,200.0,5900.0,200.0,5900.0,6,500.0,500.0,200.0,200.0,3,400.0,400.0,100.0,100.0,2,
2024-03-26T09:25:35,520.99,520.99,520.97,520.97,1,521.0,521.0,521.0,521.0,0,521.0,521.0,521.0,521.0,0,5900.0,7300.0,3700.0,5000.0,6,200.0,1900.0,200.0,1400.0,3,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:40,520.97,520.99,520.97,520.99,2,521.0,521.0,521.0,521.0,0,521.0,521.0,521.0,521.0,0,5000.0,6100.0,300.0,1000.0,7,1400.0,1400.0,200.0,200.0,1,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:45,520.99,521.0,520.99,521.0,1,521.0,521.02,521.0,521.02,1,521.0,521.0,521.0,521.0,0,1000.0,11600.0,200.0,500.0,6,200.0,800.0,200.0,800.0,2,100.0,400.0,100.0,100.0,2,
2024-03-26T09:25:50,521.0,521.01,521.0,521.01,1,521.02,521.02,521.01,521.02,2,521.0,521.0,521.0,521.0,0,500.0,1500.0,400.0,800.0,6,800.0,1600.0,800.0,1300.0,5,100.0,100.0,100.0,100.0,0,
2024-03-26T09:25:55,521.01,521.01,520.97,520.97,2,521.02,521.02,521.0,521.0,3,521.0,521.01,520.97,520.97,2,800.0,5300.0,500.0,4700.0,6,1300.0,9500.0,400.0,3600.0,10,100.0,200.0,100.0,100.0,4,
2024-03-26T09:26,520.97,520.97,520.97,520.97,0,521.0,521.0,521.0,521.0,0,520.97,520.97,520.97,520.97,0,4700.0,8200.0,700.0,7200.0,5,3600.0,11000.0,2500.0,2500.0,3,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:05,520.97,520.98,520.97,520.98,1,521.0,521.0,520.98,521.0,4,520.97,520.97,520.97,520.97,0,7200.0,7200.0,300.0,800.0,4,2500.0,7000.0,600.0,600.0,12,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:10,520.98,520.98,520.98,520.98,0,521.0,521.0,521.0,521.0,0,520.97,521.0,520.97,521.0,1,800.0,800.0,400.0,400.0,1,600.0,1100.0,600.0,600.0,2,100.0,100.0,100.0,100.0,1,
2024-03-26T09:26:15,520.98,520.98,520.97,520.97,1,521.0,521.0,520.98,520.99,3,521.0,521.0,521.0,521.0,0,400.0,700.0,300.0,400.0,7,600.0,14300.0,600.0,11500.0,11,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:20,520.97,520.97,520.97,520.97,0,520.99,520.99,520.99,520.99,0,521.0,521.0,521.0,521.0,0,400.0,600.0,400.0,600.0,1,11500.0,14500.0,10500.0,11500.0,6,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:25,520.97,520.98,520.97,520.98,1,520.99,521.0,520.99,520.99,2,521.0,521.0,520.99,520.99,1,600.0,1500.0,100.0,100.0,4,11500.0,13300.0,400.0,11400.0,10,100.0,500.0,100.0,100.0,3,
2024-03-26T09:26:30,520.98,521.0,520.97,520.97,3,520.99,521.01,520.99,520.99,5,520.99,521.01,520.99,521.0,2,100.0,1300.0,100.0,500.0,7,11400.0,11400.0,600.0,1400.0,14,100.0,500.0,100.0,100.0,4,
2024-03-26T09:26:35,520.97,520.97,520.94,520.95,4,520.99,520.99,520.97,520.98,3,521.0,521.0,520.97,520.97,2,500.0,2200.0,400.0,1200.0,10,1400.0,14000.0,900.0,3400.0,14,100.0,100.0,100.0,100.0,2,
2024-03-26T09:26:40,520.95,520.96,520.95,520.96,1,520.98,520.98,520.98,520.98,0,520.97,520.97,520.97,520.97,0,1200.0,1200.0,100.0,400.0,3,3400.0,9400.0,900.0,900.0,3,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:45,520.96,520.96,520.96,520.96,0,520.98,520.98,520.98,520.98,0,520.97,520.97,520.97,520.97,0,400.0,600.0,400.0,600.0,1,900.0,9400.0,900.0,1700.0,6,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:50,520.96,520.96,520.96,520.96,0,520.98,520.99,520.98,520.98,2,520.97,520.97,520.97,520.97,0,600.0,600.0,600.0,600.0,0,1700.0,7500.0,500.0,1500.0,9,100.0,100.0,100.0,100.0,0,
2024-03-26T09:26:55,520.96,520.96,520.95,520.95,1,520.98,520.98,520.96,520.96,2,520.97,520.97,520.96,520.96,1,600.0,600.0,400.0,400.0,2,1500.0,9500.0,100.0,500.0,7,100.0,200.0,100.0,200.0,2,
2024-03-26T09:27,520.95,520.98,520.95,520.98,2,520.96,521.01,520.96,521.0,4,520.96,520.96,520.96,520.96,0,400.0,4900.0,400.0,800.0,7,500.0,3900.0,500.0,500.0,9,200.0,200.0,100.0,100.0,1,
2024-03-26T09:27:05,520.98,520.98,520.95,520.95,2,521.0,521.0,520.98,520.98,4,520.96,520.99,520.96,520.99,1,800.0,3900.0,400.0,3900.0,6,500.0,9000.0,400.0,400.0,12,100.0,100.0,100.0,100.0,1,
2024-03-26T09:27:10,520.95,521.03,520.95,521.03,5,520.98,521.05,520.98,521.05,6,520.99,521.05,520.99,521.05,2,3900.0,3900.0,500.0,1200.0,11,400.0,4900.0,100.0,600.0,16,100.0,1000.0,100.0,100.0,4,
2024-03-26T09:27:15,521.03,521.05,521.03,521.05,2,521.05,521.07,521.05,521.07,2,521.05,521.05,521.05,521.05,0,1200.0,2500.0,1200.0,1600.0,6,600.0,1400.0,400.0,1400.0,4,100.0,100.0,100.0,100.0,0,
2024-03-26T09:27:20,521.05,521.07,521.05,521.07,2,521.07,521.09,521.07,521.09,1,521.05,521.09,521.05,521.09,1,1600.0,4300.0,1600.0,2600.0,8,1400.0,1900.0,400.0,1500.0,4,100.0,200.0,100.0,200.0,2,
2024-03-26T09:27:25,521.07,521.07,521.07,521.07,0,521.09,521.09,521.09,521.09,0,521.09,521.09,521.09,521.09,0,2600.0,2600.0,2000.0,2600.0,2,1500.0,3200.0,600.0,600.0,5,200.0,1000.0,100.0,1000.0,2,
2024-03-26T09:27:30,521.07,521.07,521.06,521.07,2,521.09,521.09,521.09,521.09,0,521.09,521.09,521.09,521.09,0,2600.0,7400.0,1600.0,2000.0,7,600.0,1400.0,600.0,1400.0,1,1000.0,1000.0,1000.0,1000.0,0,
